YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2014 05 20 08 50 308 6.4 7.6 2.04 16.00 6.65 200 1016.1 14.8 14.5 999.0 99.0 99.00
2014 05 20 09 50 306 6.4 7.7 99.00 99.00 99.00 999 1015.8 14.8 14.5 999.0 99.0 99.00
2014 05 20 10 50 308 5.3 6.4 1.94 16.00 6.47 203 1016.0 14.7 14.3 999.0 99.0 99.00
2014 05 20 11 50 298 3.8 4.8 1.85 16.00 6.58 219 1016.2 14.6 14.3 999.0 99.0 99.00
2014 05 20 12 50 292 4.3 6.1 1.72 16.00 6.27 212 1016.4 14.6 14.3 999.0 99.0 99.00
2014 05 20 13 50 280 5.2 6.1 1.76 16.00 6.22 199 1017.0 14.7 14.3 999.0 99.0 99.00
2014 05 20 14 50 290 4.7 5.5 1.69 16.00 6.49 240 1017.5 14.7 14.3 999.0 99.0 99.00
2014 05 20 15 50 298 5.7 6.7 1.54 16.00 6.30 206 1017.7 14.8 14.4 999.0 99.0 99.00
2014 05 20 16 50 296 4.2 4.9 1.51 16.00 6.38 260 1018.2 14.8 14.4 999.0 99.0 99.00
2014 05 20 17 50 304 4.8 5.6 1.36 16.00 6.28 207 1018.4 14.8 14.6 999.0 99.0 99.00
2014 05 20 18 50 290 4.1 4.9 1.30 16.00 6.08 223 1018.6 14.9 14.7 999.0 99.0 99.00
2014 05 20 19 50 293 4.4 5.6 1.40 16.00 7.02 198 1018.5 15.0 15.0 999.0 99.0 99.00
2014 05 20 20 50 292 4.6 5.6 1.36 16.00 6.78 211 1018.3 15.1 15.2 999.0 99.0 99.00
2014 05 20 21 50 284 5.3 6.2 1.26 16.00 6.36 211 1017.8 15.2 15.3 999.0 99.0 99.00
2014 05 20 22 50 279 6.2 7.4 1.27 16.00 6.15 198 1017.1 15.4 15.2 999.0 99.0 99.00
2014 05 20 23 50 301 6.4 7.7 1.34 14.81 6.29 232 1016.8 15.5 15.1 999.0 99.0 99.00
2014 05 21 00 50 294 6.1 7.9 1.33 16.00 5.90 202 1016.7 15.4 15.1 999.0 99.0 99.00
2014 05 21 01 50 304 6.7 8.1 1.42 16.00 5.66 205 1016.5 15.4 15.0 999.0 99.0 99.00
2014 05 21 02 50 304 6.9 8.3 1.40 14.81 5.35 235 1016.7 15.1 14.8 999.0 99.0 99.00
2014 05 21 03 50 310 8.3 9.5 1.38 14.81 5.21 223 1016.7 15.1 14.7 999.0 99.0 99.00
2014 05 21 04 50 311 7.3 8.7 1.58 16.00 5.58 234 1016.9 15.0 14.9 999.0 99.0 99.00
2014 05 21 05 50 314 7.6 9.2 1.38 14.81 5.24 214 1017.1 15.0 15.0 999.0 99.0 99.00
2014 05 21 06 50 306 7.7 9.1 99.00 99.00 99.00 999 1016.6 15.0 15.2 999.0 99.0 99.00
2014 05 21 07 50 306 7.2 8.8 1.60 14.81 5.53 206 1016.6 15.1 15.2 999.0 99.0 99.00
2014 05 21 08 50 308 8.1 10.0 1.67 14.81 5.54 200 1015.8 15.1 15.1 999.0 99.0 99.00
2014 05 21 09 50 307 8.3 10.7 1.88 6.25 5.64 322 1015.3 15.2 15.1 999.0 99.0 99.00
2014 05 21 10 50 312 8.9 10.8 1.74 6.67 5.44 315 1015.1 15.1 15.1 999.0 99.0 99.00
2014 05 21 11 50 305 8.6 10.2 1.94 6.67 5.84 317 1015.1 15.0 15.1 999.0 99.0 99.00
2014 05 21 12 50 310 7.9 9.6 99.00 99.00 99.00 999 1015.6 15.0 15.0 999.0 99.0 99.00
2014 05 21 13 50 321 7.2 9.0 1.94 7.14 5.77 308 1016.1 15.0 15.0 999.0 99.0 99.00
2014 05 21 14 50 324 7.6 9.5 1.88 6.67 5.75 311 1016.6 14.8 15.0 999.0 99.0 99.00
2014 05 21 15 50 317 6.1 7.8 1.79 6.67 5.63 317 1017.2 14.8 15.0 999.0 99.0 99.00
2014 05 21 16 50 299 5.5 6.7 1.84 7.14 5.85 311 1017.5 15.0 15.1 999.0 99.0 99.00
2014 05 21 17 50 308 7.3 8.7 1.83 6.25 5.91 322 1017.4 15.1 15.1 999.0 99.0 99.00
2014 05 21 18 50 313 6.6 8.0 2.02 7.14 6.22 314 1017.7 15.1 15.1 999.0 99.0 99.00
2014 05 21 19 50 305 6.4 7.5 1.81 6.67 6.01 318 1017.5 15.2 15.1 999.0 99.0 99.00
2014 05 21 20 50 310 7.1 8.5 1.68 7.69 5.92 302 1017.2 15.3 15.2 999.0 99.0 99.00
2014 05 21 21 50 314 6.6 8.0 1.86 6.25 6.05 307 1016.8 15.4 15.3 999.0 99.0 99.00
2014 05 21 22 50 305 6.3 7.6 1.92 9.09 6.40 314 1016.3 15.4 15.4 999.0 99.0 99.00
2014 05 21 23 50 314 7.0 7.9 1.97 10.00 6.30 315 1016.2 15.4 15.4 999.0 99.0 99.00
2014 05 22 00 50 322 6.9 8.0 1.78 10.00 6.05 306 1016.1 15.2 15.4 999.0 99.0 99.00
2014 05 22 01 50 316 6.5 8.1 99.00 99.00 99.00 999 1015.8 15.1 15.4 999.0 99.0 99.00
2014 05 22 02 50 317 7.1 9.2 99.00 99.00 99.00 999 1015.8 15.2 15.4 999.0 99.0 99.00
2014 05 22 03 50 316 8.4 10.3 1.90 9.09 6.04 314 1016.0 15.3 15.3 999.0 99.0 99.00
2014 05 22 04 50 310 7.5 9.0 1.82 9.09 5.77 321 1016.2 15.4 15.3 999.0 99.0 99.00
2014 05 22 05 50 319 9.0 10.9 1.79 9.09 5.77 314 1016.2 15.3 15.2 999.0 99.0 99.00
2014 05 22 06 50 315 6.9 8.4 1.81 8.33 5.68 318 1016.2 15.2 15.2 999.0 99.0 99.00
2014 05 22 07 50 315 7.6 10.0 1.75 10.00 5.62 319 1015.7 15.1 15.1 999.0 99.0 99.00
2014 05 22 08 50 315 7.5 10.3 1.79 10.00 5.86 325 1015.1 14.9 15.2 999.0 99.0 99.00
2014 05 22 09 50 320 7.4 10.1 1.78 10.00 5.59 320 1015.2 14.9 15.1 999.0 99.0 99.00
2014 05 22 10 50 299 6.9 8.2 1.93 10.00 6.04 316 1015.0 14.3 15.1 999.0 99.0 99.00
2014 05 22 11 50 308 5.9 6.7 1.78 9.09 6.08 313 1014.7 14.3 15.2 999.0 99.0 99.00
2014 05 22 12 50 311 7.3 8.8 1.83 10.00 6.12 319 1014.8 14.2 15.2 999.0 99.0 99.00
2014 05 22 13 50 305 5.3 6.5 1.77 10.00 6.29 319 1015.2 14.1 15.2 999.0 99.0 99.00
2014 05 22 14 50 321 5.9 7.7 1.64 9.09 5.81 319 1015.5 14.1 15.2 999.0 99.0 99.00
2014 05 22 15 50 327 7.2 9.1 99.00 99.00 99.00 999 1016.2 14.6 15.2 999.0 99.0 99.00
2014 05 22 16 50 301 3.5 4.5 1.66 10.00 6.28 316 1016.6 14.4 15.2 999.0 99.0 99.00
2014 05 22 17 50 296 3.4 4.0 1.57 10.00 6.15 328 1016.8 14.7 15.3 999.0 99.0 99.00
2014 05 22 18 50 328 4.0 4.8 1.58 10.00 6.12 323 1017.2 14.5 15.4 999.0 99.0 99.00
2014 05 22 19 50 297 3.9 4.7 1.53 10.00 6.03 323 1017.0 14.5 15.5 999.0 99.0 99.00
2014 05 22 20 50 305 5.8 7.3 1.53 9.09 6.01 310 1016.8 14.4 15.5 999.0 99.0 99.00
2014 05 22 21 50 310 5.8 7.0 1.52 7.14 6.14 290 1016.8 14.6 15.6 999.0 99.0 99.00
2014 05 22 22 50 308 5.9 6.9 1.56 6.67 5.93 297 1016.3 14.7 15.6 999.0 99.0 99.00
2014 05 22 23 50 313 6.3 7.6 1.51 9.09 5.94 308 1016.2 14.7 15.6 999.0 99.0 99.00
2014 05 23 00 50 316 6.4 7.9 1.44 9.09 5.72 309 1016.0 14.8 15.6 999.0 99.0 99.00
2014 05 23 01 50 314 5.8 6.6 1.46 9.09 5.70 305 1016.2 14.9 15.5 999.0 99.0 99.00
2014 05 23 02 50 319 6.1 7.4 1.41 7.69 5.65 307 1016.7 14.9 15.5 999.0 99.0 99.00
2014 05 23 03 50 329 6.2 7.6 1.40 9.09 5.52 312 1017.2 14.9 15.5 999.0 99.0 99.00
2014 05 23 04 50 312 5.5 6.5 1.46 8.33 5.77 310 1017.3 15.0 15.5 999.0 99.0 99.00
2014 05 23 05 50 316 6.1 7.6 1.42 16.00 5.92 196 1017.4 15.3 15.5 999.0 99.0 99.00
2014 05 23 06 50 320 5.1 6.2 1.35 16.00 5.66 161 1017.5 15.2 15.5 999.0 99.0 99.00
2014 05 23 07 50 317 4.8 6.1 1.29 16.00 5.65 150 1017.3 15.1 15.4 999.0 99.0 99.00
2014 05 23 08 50 316 4.1 4.7 1.12 16.00 5.59 219 1017.1 15.1 15.4 999.0 99.0 99.00
2014 05 23 09 50 324 4.2 5.0 1.24 10.00 5.66 314 1016.9 15.2 15.5 999.0 99.0 99.00
2014 05 23 10 50 294 4.0 4.8 1.17 14.81 5.87 152 1016.3 15.2 15.5 999.0 99.0 99.00
2014 05 23 11 50 302 4.1 5.6 1.16 16.00 5.91 78 1016.4 15.1 15.5 999.0 99.0 99.00
2014 05 23 12 50 324 4.4 5.3 1.25 14.81 6.27 154 1016.6 15.1 15.5 999.0 99.0 99.00
