YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2002 01 08 13 309 8.7 10.6 4.06 16.67 10.83 999 1018.8 12.6 13.7 999.0 99.0 99.00
2002 01 08 14 314 7.9 9.9 4.48 16.67 11.12 999 1018.8 11.9 13.7 999.0 99.0 99.00
2002 01 08 15 306 6.9 9.1 4.92 16.67 11.46 999 1018.8 12.0 13.7 999.0 99.0 99.00
2002 01 08 16 299 7.1 9.0 4.19 16.67 10.89 999 1019.3 12.5 13.7 999.0 99.0 99.00
2002 01 08 17 299 7.0 8.3 4.27 16.67 11.06 999 1020.1 12.2 13.7 999.0 99.0 99.00
2002 01 08 18 312 6.9 8.5 4.16 16.67 10.71 999 1020.2 11.9 13.7 999.0 99.0 99.00
2002 01 08 19 303 7.9 9.8 4.84 16.67 11.58 999 1019.8 12.6 13.7 999.0 99.0 99.00
2002 01 08 20 301 6.7 8.6 4.42 16.67 11.25 999 1018.6 13.1 13.8 999.0 99.0 99.00
2002 01 08 21 303 8.0 10.0 5.19 16.67 12.07 999 1017.8 13.6 13.8 999.0 99.0 99.00
2002 01 08 22 303 7.1 9.0 3.88 16.67 10.11 999 1017.3 13.9 13.8 999.0 99.0 99.00
2002 01 08 23 302 8.6 10.2 4.54 16.67 11.02 999 1016.8 13.9 13.8 999.0 99.0 99.00
2002 01 09 00 301 9.7 11.9 4.22 16.67 10.46 999 1016.7 14.0 13.8 999.0 99.0 99.00
2002 01 09 01 302 9.2 10.9 4.50 16.67 10.20 999 1016.5 14.1 13.8 999.0 99.0 99.00
2002 01 09 02 299 8.8 10.9 3.96 14.29 9.73 999 1016.5 14.1 13.8 999.0 99.0 99.00
2002 01 09 03 302 11.0 13.9 4.25 16.67 9.61 999 1016.4 13.7 13.7 999.0 99.0 99.00
2002 01 09 04 307 9.8 11.8 4.33 16.67 9.81 999 1016.4 13.4 13.7 999.0 99.0 99.00
2002 01 09 05 303 9.4 11.8 4.37 16.67 9.93 999 1016.6 13.2 13.7 999.0 99.0 99.00
2002 01 09 06 306 8.2 10.4 4.00 16.67 9.30 999 1016.8 13.0 13.7 999.0 99.0 99.00
2002 01 09 07 302 8.2 10.0 4.11 16.67 9.84 999 1017.4 13.0 13.7 999.0 99.0 99.00
2002 01 09 08 299 7.3 9.8 3.45 20.00 9.17 999 1017.5 13.3 13.7 999.0 99.0 99.00
2002 01 09 09 288 7.2 9.4 3.90 16.67 10.01 999 1017.4 13.5 13.7 999.0 99.0 99.00
2002 01 09 10 297 9.0 11.8 4.43 20.00 10.56 999 1017.4 13.7 13.7 999.0 99.0 99.00
2002 01 09 11 303 10.4 12.9 4.47 16.67 10.44 999 1017.0 13.4 13.7 999.0 99.0 99.00
2002 01 09 12 313 8.9 11.7 5.42 16.67 11.59 999 1016.6 13.5 13.6 999.0 99.0 99.00
2002 01 09 13 308 8.1 10.1 5.22 20.00 11.69 999 1016.5 13.4 13.6 999.0 99.0 99.00
2002 01 09 14 305 10.7 13.1 4.95 16.67 10.85 999 1016.7 13.3 13.6 999.0 99.0 99.00
2002 01 09 15 309 10.5 12.8 5.69 16.67 11.45 999 1017.2 13.0 13.6 999.0 99.0 99.00
2002 01 09 16 309 8.9 11.0 5.00 16.67 10.33 999 1017.6 13.1 13.6 999.0 99.0 99.00
2002 01 09 17 302 8.4 11.1 5.40 20.00 11.11 999 1017.8 12.7 13.6 999.0 99.0 99.00
2002 01 09 18 296 10.4 12.3 5.83 16.67 10.90 999 1018.1 13.1 13.6 999.0 99.0 99.00
2002 01 09 19 307 9.4 11.7 4.68 16.67 9.17 999 1017.9 13.3 13.6 999.0 99.0 99.00
2002 01 09 20 301 9.6 11.7 4.55 16.67 9.19 999 1017.0 13.2 13.5 999.0 99.0 99.00
2002 01 09 21 300 11.2 14.6 4.86 16.67 9.74 999 1016.4 13.3 13.5 999.0 99.0 99.00
2002 01 09 22 301 11.1 13.6 4.58 16.67 9.24 999 1015.9 13.3 13.6 999.0 99.0 99.00
2002 01 09 23 311 9.6 12.5 4.40 16.67 9.42 999 1016.0 13.3 13.7 999.0 99.0 99.00
2002 01 10 00 308 9.9 13.2 4.70 20.00 9.69 999 1016.1 13.1 13.7 999.0 99.0 99.00
2002 01 10 01 300 10.6 13.8 4.64 20.00 9.93 999 1015.9 12.7 13.7 999.0 99.0 99.00
2002 01 10 02 295 10.0 12.4 4.82 16.67 9.95 999 1016.2 13.1 13.7 999.0 99.0 99.00
2002 01 10 03 307 10.6 12.5 4.61 16.67 9.73 999 1016.9 13.4 13.7 999.0 99.0 99.00
2002 01 10 04 311 10.7 13.3 4.90 16.67 9.57 999 1017.0 13.2 13.6 999.0 99.0 99.00
2002 01 10 05 317 10.7 13.7 4.97 16.67 9.42 999 1017.4 13.1 13.6 999.0 99.0 99.00
2002 01 10 06 313 8.7 11.1 4.89 16.67 9.38 999 1018.2 13.2 13.6 999.0 99.0 99.00
2002 01 10 07 314 8.5 10.5 4.76 16.67 9.16 999 1018.2 13.2 13.6 999.0 99.0 99.00
2002 01 10 08 317 7.8 10.0 5.27 16.67 10.27 999 1018.2 13.3 13.6 999.0 99.0 99.00
2002 01 10 09 312 7.0 9.3 5.17 16.67 9.95 999 1018.2 13.4 13.6 999.0 99.0 99.00
2002 01 10 10 320 7.0 9.2 4.80 16.67 9.74 999 1018.2 13.4 13.6 999.0 99.0 99.00
2002 01 10 11 332 4.0 5.5 4.97 16.67 10.02 999 1018.1 13.3 13.6 999.0 99.0 99.00
2002 01 10 12 6 2.8 3.9 4.00 16.67 9.78 999 1017.7 13.3 13.6 999.0 99.0 99.00
2002 01 10 13 354 3.8 5.2 3.70 16.67 9.39 999 1018.0 13.2 13.6 999.0 99.0 99.00
2002 01 10 14 14 3.4 4.3 4.10 16.67 10.28 999 1018.5 13.2 13.6 999.0 99.0 99.00
2002 01 10 15 47 2.9 4.4 3.78 16.67 9.52 999 1018.8 13.2 13.6 999.0 99.0 99.00
2002 01 10 16 18 2.3 3.0 4.08 16.67 10.26 999 1019.9 13.5 13.6 999.0 99.0 99.00
2002 01 10 17 338 3.2 4.2 3.92 16.67 10.05 999 1021.3 13.7 13.6 999.0 99.0 99.00
2002 01 10 18 328 2.9 4.0 3.70 16.67 9.90 999 1022.6 13.8 13.6 999.0 99.0 99.00
2002 01 10 19 321 2.3 3.4 3.46 16.67 9.47 999 1022.1 13.7 13.7 999.0 99.0 99.00
2002 01 10 20 312 3.7 4.9 3.36 14.29 9.37 999 1021.1 13.7 13.8 999.0 99.0 99.00
